eco_num,name,moves,FEN
A00,Дебют Сокольского,1. b2-b4,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1
A00,Польский дебют: вариант Тюбинген,1. b2-b4 g8-h6,rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 2
A00,Польский дебют: обходной вариант,1. b2-b4 c7-c6,rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2
A00,Волжский гамбит (Начало Бенко),1. g2-g3,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1
A00,Lasker simul special,1. g2-g3 h7-h5,rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2
A00,Benko's opening: reversed Alekhine,1. g2-g3 e7-e5 2. g1-f3,rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2
A00,Атака Гроба,1. g2-g4,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1
A00,Grob: spike attack,1. g2-g4 d7-d5 2. f1-g2 c7-c6 3. g4-g5,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq - 0 3
A00,Grob: Fritz gambit,1. g2-g4 d7-d5 2. f1-g2 c8-g4 3. c2-c4,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq - 0 3
A00,Grob: Romford counter-gambit,1. g2-g4 d7-d5 2. f1-g2 c8-g4 3. c2-c4 d5-d4,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq - 0 4
A00,"Clemenz (Mead's, Basman's or de Klerk's) opening",1. h2-h3,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1
A00,Всеохватный дебют,1. h2-h3 e7-e5 2. a2-a3,rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq - 0 2
A00,Парижский дебют,1. g1-h3,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1
A00,Гамбит Амара,1. g1-h3 d7-d5 2. g2-g3 e7-e5 3. f2-f4 c8-h3 4. f1-h3 e5-f4,rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq - 0 5
A00,"Dunst (Sleipner, Heinrichsen) opening",1. b1-c3,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1
A00,Начало Данста,1. b1-c3 e7-e5,rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2
